ID,Skill_Title,Source_File,Insight_File,Summary
0001,Разработка идей (Idea Development),0001-idea_development_guide_2025.md,0001-insight-idea_development.md,"Методология AI-Native Ideation, расширение идей, виртуальные фокус-группы и технический аудит реализации."
0002,Глубинная механика (Core AI Mechanics),0002-core_ai_mechanics_2025.md,0002-insight-core_ai_mechanics.md,"Промпт-инжиниринг, управление вниманием (Attention Efficiency), XML Tagging и проектирование потоков мышления (Flow Engineering)."
0003,Мультиагентные системы (MAS),0003-multi_agent_systems.md,0003-insight-multi_agent_systems.md,"Паттерны оркестрации агентов: Orchestrator-Workers, Hierarchical, Sequential Chain и Joint Collaboration."
0004,Инженерия ролей и процессов,0004-engineering_roles_2025.md,0004-insight-engineering_roles.md,"Роли AI Orchestrator и Verification Engineer, управление ансамблями агентов и гарантия безопасности."
0005,Современные архитектуры кодирования,0005-modern_coding_architectures_2025.md,0005-insight-modern_architectures.md,"Clean Architecture для ИИ: разделение на доменный слой, агентный слой и слой инфраструктуры."
0006,Шаблоны мыслей (Thought Templates),0006-thought_templates.md,0006-insight-thought_templates.md,"Deep Reasoning, Architect-Engineer, Inference-time Scaling и System 2 Thinking паттерны."
0007,Методологии интроспекции,0007-methodologies.md,0007-insight-methodologies.md,"DiffCoT, ReasonFlux, Context Engineering и GRPO (Group Relative Policy Optimization)."
0008,Тестирование и верификация,0008-testing_and_verification_2025.md,0008-insight-testing_verification.md,"Agentic Test Generation, Self-Healing Tests, Mutation Testing и методология LLM-as-a-judge."
0009,Безопасность и защита,0009-agent_production_safety_2025.md,0009-insight-production_safety.md,"Принципы Least Privilege, Human-in-the-Loop и Sandboxing для изоляции выполнения кода."
0010,Экономика токенов,0010-token_economy_and_optimization.md,0010-insight-token_economy.md,"Управление квотами, Router Pattern и Prompt Caching для оптимизации затрат."
0011,Наблюдаемость и отладка,0011-observability_and_debugging_guide.md,0011-insight-observability.md,"Distributed Tracing, мониторинг рассуждений (<thought>) и Replay Debugging."
0012,Agentic RAG и Графы Знаний,0012-agentic_rag_and_graph_memory.md,0012-insight-rag_graph_memory.md,"Использование Knowledge Graphs и Research Loops для исключения галлюцинаций в памяти."
0013,MCP и Интероперабельность,0013-mcp_and_tool_interoperability.md,0013-insight-mcp_interoperability.md,"Model Context Protocol как универсальный стандарт подключения инструментов к агентам."
0014,Generative UI (GenUI),0014-generative_ui_manual_2025.md,0014-insight-gen_ui.md,"Динамическое построение интерфейсов на лету через AG-UI Protocol и JSON."
0015,Тактический План (Playbook 2025),0015-development_tactic_playbook_2025.md,0015-insight-dev_playbook.md,"Пошаговый алгоритм от идеи до промышленной эксплуатации и Security Blueprinting."
0016,Глубокий Анализ (Deep Analysis),0016-deep_analysis_patterns.md,0016-insight-deep_analysis.md,"Tree-of-Thoughts, состязательный анализ (Adversarial) и кросс-доменный синтез."
0017,Экономия Времени (Time Efficiency),0017-time_efficiency_and_velocity_2025.md,0017-insight-velocity.md,"Параллельное исполнение задач и проактивное подтверждение действий."
0018,Стратегия Языков (Language Strategy),0018-language_strategy.md,0018-insight-language_strategy.md,"Выбор стека (Python, Rust, TypeScript) в зависимости от задач агента."
